Name,Category,TVL,1d Change,7d Change,1m Change,Mcap/TVL,Fees 24h,Revenue 24h,Holders Revenue 24h,Incentives 24h,Fees 7d,Revenue 7d,Holders Revenue 7d,Incentives 7d,Fees 30d,Revenue 30d,Holders Revenue 30d,Incentives 30d,Fees 1Y,Monthly Avg 1Y Fees,Revenue 1Y,Holders Revenue 1Y,Monthly Avg 1Y Rev,Monthly Avg 1Y Holders Revenue,Incentives 1Y,Monthly Avg 1Y Incentives,Cumulative Fees,Cumulative Revenue,Cumulative Holders Revenue,Cumulative Incentives,P/F,P/S,Earnings 24h,Earnings 7d,Earnings 30d,Earnings 1Y,Monthly Avg 1Y Earnings,Cumulative Earnings,Spot Volume 24h,Spot Volume 7d,Spot Change 7d,Spot Cumulative Volume
"""DxSale""",Launchpad,33035768.501088977,-2.1780369682269565,-16.24101936030978,-16.870033703355656,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Rysk Finance""",Options,32568910.292769063,8.722068588613016,-22.3652713386297,8.937270320259682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Liqwid""",Lending,32012854.567184098,0.23128023899668468,-16.813116773712743,-30.765238817487855,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Moonlander""",Derivatives,31948201.27429408,0.05288076507215285,-0.4301602862182107,0.0038393565752323972,,5794,,,,25840,,,,99005,,,,745166,123950.01661202186,,,,,,,755109,,,,,,,,,,,,,,,
"""StakeStone""",,31861260.281306185,,,,,0,,,0,23572,,,0,64156,,,0,2682833,223740.92197260275,,,,,0,0,6994745,,,0,,,,,,,,,,,,
"""TruFin Protocol""",Liquid Staking,31133384.5455205,-23.81741251360727,-36.30207717016622,-44.05371141955324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hyperion""",Dexs,31097277.215111606,-2.185754128491726,-36.5881066500594,-46.22139172122532,,5830,1166,,,50233,10046,,,241705,48340,,,5642157,473132.94512396696,964773,,126584.87120689657,,,,5642157,964773,,,,,1166,10046,48340,964773,126584.87120689657,964773,36171135,264408279,-38.54,25968044948
"""Bancor""",Dexs,30797776.554768994,-3.548153855741898,-20.602535788160377,-25.997947362943226,1.13,1392,,,,8080,,,,22860,,,,842197,70236.92241095891,,,,,,,64727461,,,,127.38,,,,,,,,273316,1528152,272.8,764801407
"""Scallop""",,30250716.434148706,-0.22600703758194254,-17.002069333350377,-22.230007191405118,0.15,4560,1417,,0,44609,20901,,0,181243,61983,,0,8738410,728759.453150685,2857488,,238306.67046575344,,0,0,17420119,5696671,,0,2.15,6.29,1417,20901,61983,2857488,238306.67046575344,5696671,,,,
"""Endur""",Liquid Staking,30209880.641500093,-2.879045532189053,-16.18220109711942,-17.586145360468123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Vesu""",Lending,29943643.82855903,-2.4262177544880204,-17.287891268477125,-41.12505583278248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Lolik Liquid Staking""",Liquid Staking,29426158.490833536,0.07277961788426988,0.05713135515292495,0.25236303502976914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Native""",,29422868.059992198,-1.0194009561893396,-13.36675791889701,-10.601613166815095,,0,0,,,14510,0,,,49982,0,,,190138,18852.771074918568,0,,0,,,,190138,0,,,,,,,,,,,136652174,1124180828,62.5,18298436221
"""Hydration DEX""",Dexs,28995311.69535198,-1.9316609644837324,-20.016395961645742,,0.58,3989,752,401,,36835,6867,3434,,124598,22789,11395,,1270211,232923.0291566265,232740,116371,42678.34698795181,21339.35686746988,,,1274200,233492,116772,,11.36,62.1,752,6867,22789,232740,42678.34698795181,233492,5626938,46334422,42.77,2805685485
"""Carrot""",,28952696.399919283,-2.39367507280293,-8.395950278283603,-0.4897074922559137,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Nucleus""",Yield Aggregator,28520562.160822228,-0.8095635757344797,-9.59372564189546,-36.36580436581351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Crypto.com Liquid Staking""",Liquid Staking,28377430.06469215,-69.23253896177522,-75.9496165401015,-76.90919967894493,,17211,2614,,,44263,6018,,,231510,33299,,,3411702,284526.59967123286,465455,,38817.67178082192,,,,5695326,808000,,,,,2614,6018,33299,465455,38817.67178082192,808000,,,,
"""Fragmetric""",Liquid Restaking,28301908.352872085,-4.714631691713038,-17.899797848045427,20.801841367406553,0.01,20304,12552,0,,34013,13810,1368,,146632,68606,7899,,3526333,295706.82236914604,519688,27853,43579.34633608816,2335.6620385674933,,,3526475,519830,27853,,0.19,0.41,12552,13810,68606,519688,43579.34633608816,519830,,,,
"""Noon""",Yield,27701755.00796597,-0.3117638496030961,-0.29332290396139654,7.787402594118172,,41347,8269,,,48271,9657,,,209783,41961,,,2171113,226331.09493150684,434229,,45266.88616438356,,,,2212460,442498,,,,,8269,9657,41961,434229,45266.88616438356,442498,,,,
"""TermMax""",Lending,27683849.704505872,-0.5998860798005861,2.4225929143553615,29.66675345458643,,0,0,,,446,1,,,8781,5010,,,731145,71333.50576923077,422486,,41219.46743589744,,,,731145,422486,,,,,,1,5010,422486,41219.46743589744,422486,,,,
"""Thala""",,27545985.46694023,,,,0.04,1200,563,,0,16140,7878,,0,75329,37065,,0,3538994,317679.1592044174,1737070,,155545.72845114372,,0,0,5775060,2157585,,0,1.32,2.68,563,7878,37065,1737070,155545.72845114372,2157585,6673511,108358369,66.66,13851034133
"""Perena""",,26953643.40529679,-0.4226548944190257,-10.68974198673997,-11.89768222234648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""YieldNest""",Onchain Capital Allocator,26676595.65341244,-4.818140931889447,-24.639947407877163,-33.93543767993707,,2051,2051,0,,10851,10851,0,,23988,23988,0,,330925,27598.238356164384,57545,0,4799.095342465754,,,,344631,60761,0,,,,2051,10851,23988,57545,4799.095342465754,60761,,,,
"""StackingDAO""",Liquid Staking,26291721.82344479,6.596668697861986,,-14.693712805661258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ankr""",Liquid Staking,26119585.02003021,-3.799761234494936,-25.923434177050936,-30.7954412069405,2.27,1492,149,0,0,42093,4209,0,0,204192,20417,0,0,1283913,107368.98824175824,128076,0,10710.531428571428,,0,,10395328,1033230,0,0,24.28,242.82,149,4209,20417,128076,10710.531428571428,1033230,,,,
"""Amber Finance""",Lending,25564986.837135658,-4.36279582385564,-15.025205711474365,-17.78100331953938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""STON.fi""",Dexs,25468052.464647,1.6686188249388838,-31.205935821852293,,0.65,5793,1855,,,37175,11888,,,153657,49039,,,3581236,298665.27079452056,1290084,,107589.47112328767,,,,25185151,10245435,,,9.02,28.28,1855,11888,49039,1290084,107589.47112328767,10245435,3201854,21511464,56.43,7728976533
"""Vectis Finance""",Yield,25266450.15999737,0.0590666260851219,-0.07186896638691005,7.114424089886004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Gains Network""",Derivatives,24783905.034726348,0.844323375426575,5.128411669744264,-6.62889953218237,0.92,74854,59803,41920,,304986,247531,173223,,756790,620029,428661,,10976027,915370.5804931507,8845111,6195382,737658.0242191781,516677.885150685,,,67583642,43593891,31278570,,2.53,3.09,59803,247531,620029,8845111,737658.0242191781,43593891,,,,
"""Hypha""",Liquid Staking,24778400.203480367,-2.2986935135391056,-19.12683417682253,-31.93543049166161,0.01,,,,0,,,,0,,,,0,,,,,,,0,,,,,0,,,,,,,,,,,,
"""Youves""",Synthetics,24404604.56175097,-0.6011390727367962,-7.93782552567338,-5.947592933326206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Reya""",Derivatives,24371643.63907446,-1.005652809807127,-7.491943276726349,-4.565526475899038,,858,591,,,78202,6900,,,113819,27788,,,1943743,162102.84087671232,432072,,36033.621041095896,,,,2824570,491111,,,,,591,6900,27788,432072,36033.621041095896,491111,,,,
"""RockSolid Network""",Yield,24195224.761964828,-3.5163615923812572,-12.459228804372922,-0.3534677592958349,,326,17,,,8820,156,,,54431,728,,,229116,44706.99384615385,2429,,473.9664102564103,,,,229442,2446,,,,,17,156,728,2429,473.9664102564103,2446,,,,
"""Adrastea Finance""",,24136191.09729856,-6.154494164274211,-27.76645477016585,,,0,1,,,5742,5,,,32890,375,,,476541,43824.49558912387,2080,,191.28459214501513,,,,476541,2080,,,,,1,5,375,2080,191.28459214501513,2080,,,,
"""Verus Market""",Dexs,24001265.705355205,-4.440870787039413,-11.962963765475747,-16.45134478687783,,266,133,,,947,473,,,2119,1058,,,22728,2268.328918032787,11355,,1133.2662295081968,,,,22994,11488,,,,,133,473,1058,11355,1133.2662295081968,11488,848833,4386146,210.46,92002388
"""Hakutora""",Risk Curators,23866817.692477573,-0.3599963392866329,-1.06181133142032,9.98824021714067,,1679,252,,,13611,2042,,,55454,8319,,,2067946,172461.03079452057,310210,,25870.66410958904,,,,2091487,313743,,,,,252,2042,8319,310210,25870.66410958904,313743,,,,
"""Mezo Borrow""",CDP,23668318.741866563,-3.547132371324139,-18.407504887702757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""T RIZE""",RWA,23000000,0,0,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Pando""",,22951708.679996226,-2.8215836316329224,-13.338908162222182,-15.98309621555426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336497,2238597,42.91,802525447
"""AlphaFi""",,22944790.55708775,-0.2949408841953789,-17.234881253754057,-8.785639471408167,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""UltraYield Vaults""",Onchain Capital Allocator,22930710.10365605,51.08358876319012,48.384649281128326,265.5768608153744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""40 Acres""",Lending,22828572.805450555,-4.617915096964878,-16.376916727397113,-15.903584634251008,,80,44,,,27083,8665,,,111792,30427,,,1490802,128192.12677966102,558785,,48049.19604519774,,,,1490882,558829,,,,,44,8665,30427,558785,48049.19604519774,558829,,,,
"""Vaulta REX""",Lending,22774616.048979253,0.04809080234942467,-13.001484209679711,-61.26879651791251,,53,53,,,412,412,,,1816,1816,,,2665,1590.6392156862746,2665,,1590.6392156862746,,,,2665,2665,,,,,53,412,1816,2665,1590.6392156862746,2665,,,,
"""BitU Protocol""",CDP,22693738.283438325,-3.2728884437443777,-12.969294884418062,-14.799228000890775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Aevo""",,22585755.34786105,-0.31543878776456746,-2.815860092458988,-17.036247571784322,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GoldFinger""",RWA,22579092.401993297,-0.05582805970280777,-0.015565831872388776,1.3316308764875633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Etherex""",Dexs,22449949.59373449,-2.4160475620402337,-14.86667572026787,-20.809770954967245,0.05,6822,6022,5980,,45239,39724,39367,,200169,170427,168771,,12479233,1988836.9241884819,10418570,10262759,1660425.5015706804,1635593.6332984294,,,12479233,10418570,10262759,,0.52,0.61,6022,39724,170427,10418570,1660425.5015706804,10418570,4248400,31917724,-149.88,9398705225
"""Vishwa""",Onchain Capital Allocator,22436735.985598635,-3.7357396658998545,-16.2051100045222,-18.45353096752881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Bonk Staked SOL""",Liquid Staking,22219982.879456326,-6.119651822241109,-22.569554173815156,-14.493499764636079,,0,13,,,24904,82,,,140235,3199,,,1560316,130126.07956164383,28281,,2358.5579178082194,,,,2961862,28281,,,,,13,82,3199,28281,2358.5579178082194,28281,,,,
"""Sceptre Liquid""",Liquid Staking,22160738.09201053,1.5784340880731071,-0.4053214105008318,-10.58265785225057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Neverland""",Lending,22015261.44794949,-2.326044423895865,-4.322073411095687,95.51698528605826,,22031,10759,0,,145907,70828,0,,455265,219509,0,,536568,230044.0833802817,256470,0,109956.99718309859,,,,558599,267229,0,,,,10759,70828,219509,256470,109956.99718309859,267229,,,,
"""Turtle Club""",Onchain Capital Allocator,21906641.62497081,-0.2701707958320303,-16.419588896041592,-54.426156418828405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Metronome""",,21329606.29529372,-1.8873874276626235,-8.965056663508163,-12.39720681394689,0.17,199884,199884,0,,897817,897817,0,,1988823,1988823,0,,9200396,767287.8198356164,9200396,461264,767287.8198356164,38468.1538630137,,,9932364,9932364,461264,,0.16,0.16,199884,897817,1988823,9200396,767287.8198356164,9932364,,,,
"""Giza""",AI Agents,21288337.564869307,-0.7913627572265278,-22.048199415210348,-50.56590980165091,,0,0,,,8,8,,,485,485,,,91502,9473.880544217687,91502,,9473.880544217687,,,,91502,91502,,,,,,8,485,91502,9473.880544217687,91502,,,,
"""Blur""",,21245015.61121035,-4.12190112759778,-24.61390933174903,-31.878290979818736,2.97,0,,,0,0,,,0,17,,,0,712655,59433.47452054795,,,,,0,0,70820753,,,0,309435.24,,,,,,,,,,,
"""Looping Collective""",Yield,21183021.73941375,-1.3610074306097126,-30.700864715242528,-23.850718804106794,,8617,976,0,,87318,9462,0,,126271,16353,0,,1714070,193421.0602720186,155112,0,17920.8184322018,0,,,1722687,156088,0,,,,976,9462,16353,155112,17920.8184322018,156088,,,,
"""MYX Finance""",Derivatives,21025117.995835602,-1.6042482150246433,-9.006411531137159,-10.462701878439695,54.63,61,6,0,,305,32,0,,1126,125,0,,166199,16372.484012944986,49624,3468,4888.526084142395,341.6372815533981,,,166260,49630,3468,,85016.79,765831.25,6,32,125,49624,4888.526084142395,49630,,,,
"""XSY""",Basis Trading,21010411.835201368,0.12726469024323717,0.17384690051323698,0.18172263089757934,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Wasabi""",Derivatives,20810615.35622925,-4.651563696158602,-18.43573899968156,-34.34568128622226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""VenomStake""",Liquid Staking,20792193.498656016,-0.10326596098912287,-16.001027598360245,-23.205876263325806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SyncSwap Protocol""",Dexs,20710886.101347957,-1.461458646507257,-3.1361614768972528,-17.42803270538678,,5881,0,0,,43635,0,0,,84242,0,0,,2711815,226923.53322802254,0,0,0,0,,,3175129,0,0,,,,,,,,,,2139703,16335609,509.82000000000005,8959200497
"""Predict Fun""",Prediction Market,20661945.450881045,-2.176418434542347,-13.925675400982234,137.5614816731056,,9780,9780,,,106149,106149,,,724044,724044,,,932157,183063.60696774194,932157,,183063.60696774194,,,,941937,941937,,,,,9780,106149,724044,932157,183063.60696774194,941937,6566105,42430113,-49.72,512893258
"""Vesta Equity""",RWA,20634337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RateX""",,20211048.494178448,-5.074086145764105,-44.14246945719456,,,16643,8321,,,181998,90999,,,343039,171521,,,8540798,712279.1537534248,4270405,,356140.077260274,,,,9748818,4874411,,,,,8321,90999,171521,4270405,356140.077260274,4874411,1664280,19371043,236.71,974860622
"""Royco Protocol""",Yield,20205401.340394646,-3.6354506280775167,-14.564598101383941,-16.39885993720797,,0,0,,,0,0,,,0,0,,,1099014,91654.75660273973,0,,,,,,1104589,0,,,,,,,,,,,,,,
"""Mento""",Algo-Stables,20041768.975698218,-0.9277758845301015,-3.873600946566527,-5.731199032533516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348803838,1373210577,12.4,28115247995
"""ICHI""",Liquidity manager,19992564.79672802,,,-12.941924281345186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AlphaPing""",Risk Curators,19767383.743635487,-1.139740636608243,-20.1115181560857,-43.77334393449415,,2988,308,,,28964,2989,,,157969,19592,,,1731314,144386.84427397262,240049,,20019.428931506853,,,,1734302,240357,,,,,308,2989,19592,240049,20019.428931506853,240357,,,,
"""Overnight Finance""",CDP,19734881.552082516,0.4939681208226026,-2.815887065641279,-3.4504954301770594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Katana Pre-Launch""",Farm,19600724.549043994,-1.4016140578812064,-31.213102378938824,-43.90006929262819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Solayer""",,19562304.065693088,-6.020537830746988,-22.201219718152252,-26.807299062203683,1.06,0,156,0,0,17439,527,0,0,103007,5479,0,0,5641665,470499.4043835617,85892,0,7163.157479452055,0,0,0,10286976,85892,0,0,16.86,316.96,156,527,5479,85892,7163.157479452055,85892,,,,
"""Kumbaya""",Dexs,19562102.19004683,58.72423714193916,60.53065172767691,189437.0250852645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Colend Protocol""",Lending,19429044.877646945,-2.2546826986868407,-20.99242472178009,-32.78296946561215,,2212,782,,,55042,12072,,,298111,57786,,,2887933,240845.70005479452,661282,,55149.107068493155,,,,3883196,786888,,,,,782,12072,57786,661282,55149.107068493155,786888,,,,
"""Osmosis DEX""",Dexs,19081997.95341029,-1.7527792456386286,-10.23365693318591,-15.111506760467838,1.68,7817,2622,,0,48667,15708,,0,212742,72241,,0,9089432,760116.2364835165,3464615,,289733.18846153846,,0,,65306710,21171704,,0,12.56,37,2622,15708,72241,3464615,289733.18846153846,21171704,10898905,43546114,99.62,40970603582
"""Asseto AoABT""",RWA,18998930.376997363,0,0,-0.9341604395345456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Kava Mint""",CDP,18934985.935596284,-2.0852240771108703,-14.221848804551247,-13.876295998760696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Momentum""",Dexs,18923352.499391533,-7.816265651826648,-19.354524464117368,-33.39028560756463,1.71,13602,2720,,,82092,16418,,,354871,70775,,,17771139,1634300.517099698,3540101,,325560.94996978855,,,,17784741,3542821,,,7.64,38.29,2720,16418,70775,3540101,325560.94996978855,3542821,26688041,167944479,6.29,30327307156
"""TermFinance""",,18882138.246807024,2.2311223956157695,-10.738747858771761,-24.7296017655877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Magma""",Dexs,18813315.791603733,-2.2350689876396155,-17.55969782462676,-24.439651865221013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Yield Yak""",,18513458.40369988,-2.040992098040141,-13.653938942828075,-20.96258821821987,0.07,470,470,117,,1560,1560,390,,9373,9373,2344,,372142,31035.623232876715,372142,364428,31035.623232876715,30392.296767123287,,,3487552,3487552,2303496,,12.87,12.87,470,1560,9373,372142,31035.623232876715,3487552,,,,
"""Enosys""",,18482875.61913496,,,,,14074,1270,0,,107154,9601,0,,549917,38792,0,,1588331,275780.6651973255,144240,0,19643.06528669276,0,,,1631835,148456,0,,0,0,1270,9601,38792,144240,19643.06528669276,148456,4565653,36458409,21.37,546235049
"""OpenTrade""",RWA,18466645.38616047,-0.0014660639701114659,-1.2504982513751852,-1.5233165358820255,,5821,708,,,33664,5026,,,152738,21244,,,1867079,155709.2733150685,229179,,19112.90071232877,,,,1941719,238119,,,,,708,5026,21244,229179,19112.90071232877,238119,,,,
"""Synapse""",Cross Chain Bridge,17984642.932738293,-1.5506950577694545,-14.482984490475664,-20.67938797705438,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Etherfuse""",RWA,17954974.66838905,0.3325276750536237,0.4600181716264504,-5.931520719234965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Saphyre""",Dexs,17720706.18642728,-1.080574080622892,36.79207977284501,12.224382169617662,0.25,11534,2887,,,76546,19167,,,359291,89961,,,8118426,677054.4861369864,2033210,,169564.14356164387,,,,14080042,3549192,,,1.03,4.11,2887,19167,89961,2033210,169564.14356164387,3549192,9185097,43669206,15.08,5024019096
"""Templar Protocol""",Lending,17673413.58702921,12.877982095587079,83.98559206317728,58.73820539685713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Liminal""",Basis Trading,17637024.177698873,-2.397799039240852,-6.358492362320191,-13.137040856363422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Increment Finance""",,17527356.8045862,-0.25551096151174957,-3.3771548646709677,8.118312970025158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61056,1025462,85.33,393877412
"""GETH""",Liquid Staking,17365198.859865174,-3.4249303368427757,-24.74290730337276,-28.019563698094572,,2220,222,0,,17968,1797,0,,87148,8714,0,,992126,82740.59024657535,99207,0,8273.592,,,,3234124,323403,0,,,,222,1797,8714,99207,8273.592,323403,,,,
"""ComTech Gold""",RWA,17076042.494693734,6.604691728091148,-4.700588811138181,12.695273976785304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""FluxBeam""",Dexs,17071083.080915164,,,,,23,23,,,166,166,,,1057,1057,,,99305,8443.698882681565,99305,,8443.698882681565,,,,418269,418269,,,,,23,166,1057,99305,8443.698882681565,418269,1127118,7710761,-12.78,6025457140
"""ApeBond""",,17064088.497026045,-0.5654000007535747,-5.217960429118471,0.4367045438047167,0.03,518,,,,3111,,,,11240,,,,179646,14981.984219178083,,,,,,,37084947,,,,3.82,,,,,,,,170673,1144550,118.08,16363034858
"""Stroom""",Liquid Staking,17041552.958903246,-26.822501834514274,-35.26147056293662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MerlinSwap""",Dexs,17008677.407776825,-0.4294802961386673,-14.21521238083139,-21.41680278060999,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""DeepBook""",Dexs,16878499.22989403,,,,4.36,,,,0,,,,0,,,,0,,,,,,,0,0,,,,0,,,,,,,,,37054234,290426992,79.99,12286620894
"""Fulcrom""",,16877840.72503602,-2.171745977366204,-13.537322296019466,-18.950833491424422,2.61,31924,6385,6385,,121941,24390,24390,,410793,82159,82159,,6810525,567979.1260273973,1362101,1362101,113595.49161643836,113595.49161643836,,,14379102,2875824,2875824,,8.95,44.76,6385,24390,82159,1362101,113595.49161643836,2875824,8718976,20927272,204.13,718789066
"""Noble Points Vault""",Farm,16838837.959981624,-4.245734571252798,-27.063098213894026,-38.49086596667262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BEND""",Lending,16767310.654056445,-0.5730454019261518,-1.4402264689630921,-6.8578502075865595,,26,26,,,3292,201,,,18507,1055,,,86596,24183.323302752295,4941,,1379.8535779816514,,,,86622,4967,,,,,26,201,1055,4941,1379.8535779816514,4967,,,,
"""DODO""",,16662528.330968529,-1.3712350974426462,-21.220234845312778,-11.027556887279028,1.01,26044,5209,,0,148709,29744,,0,670728,134143,,0,41197295,3445180.384065934,8239468,,689036.8294505496,,0,0,60521057,12104178,,0,2.11,10.54,5209,29744,134143,8239468,689036.8294505496,12104178,68650573,289656525,-32.29,198137297538
"""Harvest Finance""",Yield Aggregator,16468959.77999582,-0.2805406523556853,-11.214151094223041,-13.642785383705041,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Index Coop""",Indexes,16421920.318508247,-4.861116759497937,-32.01009730464139,-38.967908812481745,0.14,428,428,0,,553,553,0,,23611,23611,0,,198029,16515.07605479452,198029,0,16515.07605479452,,,,198457,198457,0,,8.58,8.58,428,553,23611,198029,16515.07605479452,198457,,,,
"""Aries Markets""",Lending,16294903.656179436,-3.292252867387093,-18.107887441934828,-24.141950577426332,,682,136,,,4857,970,,,20748,4151,,,2054399,269551.3170689655,258924,,37892.53153846154,,,,2054399,258924,,,,,136,970,4151,258924,37892.53153846154,258924,,,,
"""Hydrex""",Dexs,16195621.130154282,-4.660375924641927,-27.545984292928498,-20.34433862559403,,3936,3936,,,36794,36794,,,197573,197573,,,1093987,226537.1719727891,1093987,,226537.1719727891,,,,1097923,1097923,,,,,3936,36794,197573,1093987,226537.1719727891,1097923,,,,
"""Qearn""",Staking Pool,16162982.988188872,-4.522542860945926,-14.146369454941599,-22.94465262228112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Contango""",Derivatives,16133054.346782984,,,,0.09,117,117,117,0,1646,1646,1646,0,8547,8547,8547,0,811925,67712.3205479452,811925,811925,67712.3205479452,67712.3205479452,0,0,1308895,1286695,1286695,0,14.75,14.75,117,1646,8547,811925,67712.3205479452,1286695,,,,
"""Zeus Network""",Decentralized BTC,16056275.201389844,-3.522579051173528,-17.04868238618355,-17.060990280479785,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Serum""",Dexs,16046308.85008496,-1.7011650549908341,-9.920915935262462,-11.598195618862942,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Knightrade""",Onchain Capital Allocator,15760770.93056245,-4.560294878356971,-2.1144524265864453,-25.943769094911133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""CatFee Staking Vault""",Staking Pool,15647091.936585901,1.1060367011209968,-2.4444942517479658,-2.1578966902410235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Dinero""",,15446242.458291028,-1.5683986881826837,-22.531650154417783,-41.17777456556653,,624,624,262,0,4505,4505,1915,0,6193,6193,2632,0,515646,43003.46367123288,515646,219154,43003.46367123288,18276.843178082192,0,0,570294,570294,242374,0,,,624,4505,6193,515646,43003.46367123288,570294,,,,
"""Latch""",Yield,15403751.140647033,1.3170520793370186,-3.542355399064208,-0.3868818806824511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Bonzo Finance""",Lending,15385561.81321776,-0.8615421070703745,-8.102456175089484,-16.892738759554703,0.18,414,57,,,3184,430,,,14470,1920,,,744301,62072.664219178085,75400,,6288.153424657535,,,,833698,93688,,,16.42,123.76,57,430,1920,75400,6288.153424657535,93688,,,,
"""Katana Ronin Dex""",Dexs,15034210.273125684,-2.746151036156604,-23.434721639612917,-19.852497762591057,,5045,839,,,51683,8603,,,274444,45703,,,3540131,295237.2264109589,466255,,38884.38958904109,,,,4559431,524475,,,,,839,8603,45703,466255,38884.38958904109,524475,1727347,14817739,-113.28999999999999,14311817657
"""Chainge Finance""",Dexs,14683771.196245393,13.791727718561928,-3.8760855069154823,-7.052208740764368,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""DefiTuna""",,14355604.813171703,-4.712172711486206,-32.34030547948148,-62.335678496085556,0.39,7792,5606,2336,,111877,68679,28635,,482637,181738,75745,,5614620,628252.6635432293,2189500,561940,200954.90616618012,54357.0402218729,,,6083633,2656327,564276,,0.97,2.58,5606,68679,181738,2189500,200954.90616618012,2656327,4179193,80181505,-16.15,8388303152
"""Granite""",Lending,14062247.57996329,-13.942317969852333,-33.36228119291308,-38.147242708897856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MetaDAO""",Dexs,14026260.56242847,-0.19540570742727173,-11.208078702822899,,7,8990,8990,,,43660,43660,,,199842,199842,,,1613601,486316.9746534653,1613601,,486316.9746534653,,,,1613601,1613601,,,40.95,40.95,8990,43660,199842,1613601,486316.9746534653,1613601,3596063,15798113,3.79,365230115
