Name,Category,TVL,1d Change,7d Change,1m Change,Mcap/TVL,Fees 24h,Revenue 24h,Holders Revenue 24h,Incentives 24h,Fees 7d,Revenue 7d,Holders Revenue 7d,Incentives 7d,Fees 30d,Revenue 30d,Holders Revenue 30d,Incentives 30d,Fees 1Y,Monthly Avg 1Y Fees,Revenue 1Y,Holders Revenue 1Y,Monthly Avg 1Y Rev,Monthly Avg 1Y Holders Revenue,Incentives 1Y,Monthly Avg 1Y Incentives,Cumulative Fees,Cumulative Revenue,Cumulative Holders Revenue,Cumulative Incentives,P/F,P/S,Earnings 24h,Earnings 7d,Earnings 30d,Earnings 1Y,Monthly Avg 1Y Earnings,Cumulative Earnings,Spot Volume 24h,Spot Volume 7d,Spot Change 7d,Spot Cumulative Volume
"""MoneyOnChain""",Dual-Token Stablecoin,47298314.37467904,-3.4431503273740773,-16.43458495208788,-42.02020705586936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Sygnum FIUSD Liquidity Fund""",RWA,47002087.684,0,0.06076461286814608,0.2958357787271289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SatLayer""",Anchor BTC,46383382.139713585,-3.631338509137298,-13.921814946469304,-16.84546502526369,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Reservoir Protocol""",CDP,46059681.53258291,-2.4400254342073993,-35.333275607566335,-42.62139399019942,,0,0,,,0,0,,,0,0,,,0,,0,,,,,,0,0,,,,,,,,,,,,,,
"""MetalX""",,45938566.90995083,-0.9810057412387602,-14.00072755498624,-18.739196970680247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497071,16542453,7.94,234355251
"""Ring Protocol""",Dexs,45727475.490450926,1.6498732949849357,-23.30211559555971,-26.27966709361723,,91529,0,,,438455,0,,,959351,0,,,10438831,870569.9058630137,0,,0,,,,11983334,0,,,,,,,,,,,30509769,138196589,139.22,3995566260
"""Dinari""",RWA,45423252.94634685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Origami Finance""",Leveraged Farming,45416940.226973824,-8.814722173782295,-35.97110902989887,-37.45640265136916,,2195,44,,,4313,86,,,38939,780,,,388420,32393.163835616444,7763,,647.4129315068494,,,,414892,8436,,,,,44,86,780,7763,647.4129315068494,8436,,,,
"""Idle""",Yield Aggregator,44942472.292502165,-2.2263774452946707,-2.4064780909047907,-3.583941695735779,0,24,2,0,0,20026,3299,0,0,110266,18153,0,0,2687284,224112.1231780822,336371,0,28052.419835616438,,0,,3080686,385249,0,0,0.01,0.04,2,3299,18153,336371,28052.419835616438,385249,,,,
"""Equilibria""",Yield,44223668.54170323,0.276529477254069,-21.978666898386027,-34.88146807363378,0.06,0,0,,0,35392,11797,,0,255813,85269,,0,5455478,454971.91868493153,1818489,,151657.0004383562,,0,,6607446,2202476,,0,0.91,2.72,,11797,85269,1818489,151657.0004383562,2202476,,,,
"""Resupply""",Lending,43646476.98366088,-1.3691817565792184,-21.563212144336603,-22.338752540438662,0.09,3881,2911,2715,,50854,38140,35598,,188661,141495,132063,,3840643,363071.96559006214,2880486,2688458,272304.3286956522,254151.12273291926,,,3844524,2883397,2691173,,1.87,2.5,2911,38140,141495,2880486,272304.3286956522,2883397,,,,
"""Project X""",Dexs,43092282.11945667,0.16094271658466103,3.077034105790692,6.838189924595743,,220010,31461,,,1308340,187093,,,2416714,345590,,,24458211,3631746.062634147,3497523,,519339.5127804879,,,,24458211,3497523,,,,,31461,187093,345590,3497523,519339.5127804879,3497523,271805263,1329545529,178.01,23898514706
"""Ember Protocol""",Onchain Capital Allocator,42884489.77830782,6.2140963056462395,-4.413048786219438,-27.79289554141058,,10062,282,,,82273,2356,,,331443,12096,,,1658530,327828.91688311694,79612,,15736.294025974028,,,,1658530,79612,,,,,282,2356,12096,79612,15736.294025974028,79612,,,,
"""Tangible""",,42860786.88248718,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442542,442542,437705,0,,,,,,,,442542,,,,
"""XRPL DEX""",Dexs,42736200.827485755,-1.8408823056665653,-16.5109324869573,-24.487446945965374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1897296885
"""Hydration Lending""",Lending,42650043.89876167,-7.325626065525598,-24.12824410484229,-30.08896268234086,,3294,333,,,21929,2219,,,123530,12489,,,1427808,127455.93994134897,238964,,21331.566451612904,,,,1431102,239297,,,,,333,2219,12489,238964,21331.566451612904,239297,,,,
"""B.Protocol Curator""",Risk Curators,42557184.30743033,-2.1304049059142485,-28.647435008276958,-35.403151829064306,,2263,339,,,22314,3346,,,127947,19190,,,6288070,524407.8104109588,403122,,33619.27035616438,,,,7809779,589633,,,,,339,3346,19190,403122,33619.27035616438,589633,,,,
"""Dswap""",Dexs,42549465.922131546,-2.898615195423016,-12.46367066759456,-11.448130608578555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""WEMIX.FI""",,42427863.48527839,-1.5426035153614086,-9.81782787252149,-10.653842306078849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Flux Finance""",Lending,42416216.62393173,0.0020098098878911933,-0.19554333052406456,0.013147809811736813,,727,0,,,31644,0,,,137980,0,,,1677508,139899.57128767125,0,,,,,,2161853,0,,,,,,,,,,,,,,
"""Anvil""",Collateral Management,42355068.07004991,-1.3532820000558594,-15.95642439213031,-22.129614135914945,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Realms""",Governance Incentives,42255282.694074295,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Concentrator""",Yield,42080603.43660855,-0.9142097243536728,-17.370004334865225,-37.71080755378426,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Pacifica""",Derivatives,41889797.71870101,-0.4692021803350488,-2.511604030543201,-2.8086015245020497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
